date,sqft,psf,price
Feb2026,1001,1848,1850000
Dec2025,721,1844,1330000
Dec2025,624,1714,1070000
Dec2025,937,1783,1670000
Dec2025,711,1731,1230000
Dec2025,937,1687,1580000
Dec2025,711,1866,1325000
Dec2025,624,1730,1080000
Nov2025,710,1830,1300000
Nov2025,710,1830,1300000
Nov2025,710,1661,1180000
Nov2025,624,1730,1080000
Oct2025,1141,1841,2100000
Aug2025,624,1722,1075000
Aug2025,937,1922,1800000
Aug2025,937,1922,1800000
Aug2025,710,1760,1250000
Jul2025,710,1619,1150000
Jul2025,764,1832,1400000
Jul2025,764,1897,1450000
Jul2025,937,1910,1788000
Jul2025,721,1664,1200000
Jul2025,764,1852,1415000
Jul2025,937,1879,1760000
Jun2025,1012,1759,1780000
Jun2025,1141,1950,2225000
May2025,646,1819,1175000
Apr2025,711,1900,1350000
Apr2025,624,1730,1080000
Apr2025,711,1893,1345000
Mar2025,936,1741,1630000
Mar2025,936,1869,1750000
Feb2025,710,1943,1380000
Feb2025,624,1818,1135000
Feb2025,1141,1897,2165000
Jan2025,710,1886,1340000
Jan2025,646,1742,1125000
Dec2024,915,1858,1700000
Dec2024,937,1911,1790000
Dec2024,1130,1690,1910000
Dec2024,710,1760,1250000
Nov2024,624,1778,1110000
Nov2024,937,1879,1760000
Nov2024,624,1762,1100000
Oct2024,710,1816,1290000
Sep2024,710,1887,1340000
Sep2024,711,1893,1345000
Jun2024,1335,1940,2590000
Jun2024,1474,1769,2608000
May2024,1130,1715,1938000
Apr2024,1012,1838,1860000
Apr2024,1012,1946,1968000
Mar2024,1141,1897,2165000
