date,sqft,psf,price
Feb2026,506,1631,825000
Dec2025,990,1767,1750000
Nov2025,668,1558,1040000
Oct2025,990,1786,1768000
Aug2025,1443,1303,1880000
Jul2025,732,1598,1170000
Jun2025,732,1667,1220000
May2025,667,1630,1088000
Apr2025,979,1736,1700000
Mar2025,667,1686,1125000
Mar2025,699,1647,1152000
Feb2025,667,1648,1100000
Jan2025,667,1630,1088000
Dec2024,1141,1735,1980000
Dec2024,980,1715,1680000
Nov2024,700,1669,1168000
Nov2024,1141,1665,1900000
Oct2024,667,1693,1130000
Oct2024,979,1705,1670000
Sep2024,1604,1428,2290000
Aug2024,1367,1617,2210000
Aug2024,667,1618,1080000
Jul2024,990,1732,1715000
Jul2024,667,1461,975000
Jul2024,732,1680,1230000
Jul2024,667,1512,1008000
Jul2024,667,1678,1120000
May2024,1044,1398,1460000
May2024,979,1652,1618000
