date,sqft,psf,price
Jan2026,743,1589,1180000
Nov2025,1281,1678,2150000
Aug2025,1238,1668,2065000
Aug2025,1130,1582,1788000
Aug2025,463,1642,760000
May2025,2400,1104,2650000
Apr2025,1184,1630,1930000
Apr2025,1270,1771,2250000
Mar2025,1830,1191,2180000
Mar2025,1281,1608,2060000
Mar2025,1130,1627,1838000
Mar2025,743,1656,1230000
Feb2025,1184,1575,1865000
Jan2025,1270,1575,2000000
Jan2025,2335,1229,2870000
Jan2025,732,1578,1155000
Jan2025,1184,1579,1870000
Jan2025,1270,1723,2188000
Dec2024,1399,1590,2225000
Dec2024,1829,1230,2250000
Nov2024,1689,1169,1975000
Nov2024,743,1573,1168000
Oct2024,1238,1624,2010000
Oct2024,1270,1575,2000000
Oct2024,1959,1353,2650000
Sep2024,667,1566,1045000
Aug2024,732,1544,1130000
Aug2024,2002,1174,2350000
Jul2024,1238,1535,1900000
Jul2024,1184,1520,1800000
Jul2024,1916,1096,2100000
Jul2024,710,1591,1130000
May2024,1184,1622,1920000
Apr2024,2206,1047,2310000
Mar2024,463,1594,738000
