date,sqft,psf,price
Feb2026,452,1924,870000
Feb2026,484,1895,918000
Feb2026,452,2002,905000
Jan2026,592,1943,1150000
Jan2026,947,2069,1960000
Dec2025,947,1900,1800000
Dec2025,936,2093,1960000
Dec2025,1055,2228,2350000
Dec2025,936,2157,2020000
Dec2025,571,1954,1115000
Dec2025,1313,2070,2718000
Nov2025,947,2035,1928000
Oct2025,571,1858,1060000
Oct2025,775,1938,1501000
Oct2025,1012,2174,2200000
Sep2025,775,1935,1500000
Sep2025,1313,2154,2828000
Sep2025,1249,2122,2650000
Sep2025,1012,2056,2080000
Jul2025,947,1795,1700000
Jul2025,980,1724,1688000
Jul2025,1012,2114,2138000
Jun2025,452,2002,905000
Jun2025,936,2120,1985000
Jun2025,484,1879,910000
May2025,484,1868,905000
May2025,979,1787,1750000
May2025,936,1901,1780000
Apr2025,1055,2038,2150000
Apr2025,1313,2047,2688000
Mar2025,592,1892,1120000
Feb2025,570,1890,1078000
Feb2025,678,2047,1388000
Feb2025,678,1932,1310000
Feb2025,678,1842,1248000
Jan2025,592,1841,1090000
Jan2025,678,1961,1330000
Dec2024,452,1902,860000
Dec2024,571,1928,1100000
Nov2024,678,1947,1320000
Nov2024,678,1917,1300000
Oct2024,592,1993,1180000
Sep2024,678,1973,1338000
Sep2024,1249,2082,2600000
Sep2024,678,2020,1370000
Aug2024,678,1901,1288000
Aug2024,592,1944,1151000
Jul2024,571,1928,1100000
Jul2024,1249,1906,2380000
Jul2024,1313,1918,2518000
Jul2024,592,1917,1135000
Jun2024,571,1893,1080000
May2024,678,2017,1368000
May2024,571,1893,1080000
May2024,980,1766,1730000
Apr2024,979,1787,1750000
Apr2024,1249,1794,2240000
Apr2024,571,1893,1080000
Apr2024,678,1991,1350000
Apr2024,678,1961,1330000
Apr2024,1313,2018,2650000
Apr2024,678,2035,1380000
Mar2024,947,2059,1950000
