date,sqft,psf,price
Feb2026,474,1731,820000
Feb2026,463,1761,815000
Feb2026,463,1793,830000
Feb2026,549,1581,868000
Jan2026,474,1757,832000
Jan2026,474,1752,830000
Dec2025,463,1789,828000
Dec2025,710,1844,1310000
Nov2025,710,1926,1368000
Oct2025,474,1795,850000
Oct2025,711,1928,1370000
Oct2025,463,1793,830000
Oct2025,463,1772,820000
Sep2025,710,1872,1330000
Sep2025,463,1746,808000
Sep2025,710,1872,1330000
Sep2025,463,1692,783000
Sep2025,474,1731,820000
Aug2025,1356,1954,2650000
Jul2025,474,1731,820000
Jul2025,463,1772,820000
Jun2025,711,1855,1318000
May2025,1162,1865,2168000
Apr2025,474,1731,820000
Apr2025,710,1830,1300000
Mar2025,710,1851,1315000
Mar2025,474,1727,818000
Feb2025,463,1856,858000
Feb2025,711,1907,1355000
Feb2025,474,1805,855000
Jan2025,463,1815,839000
Jan2025,463,1826,845000
Dec2024,710,1872,1330000
Dec2024,463,1746,808000
Dec2024,463,1750,810000
Nov2024,474,1706,808000
Oct2024,710,1865,1325000
Oct2024,463,1739,805000
Sep2024,538,1552,835000
Sep2024,474,1731,820000
Aug2024,538,1514,815000
Jul2024,463,1728,800000
Jul2024,710,1802,1280000
May2024,474,1748,828000
May2024,710,1774,1260000
May2024,474,1689,800000
May2024,1410,1901,2680000
Apr2024,711,1752,1245000
Apr2024,463,1750,810000
Apr2024,474,1657,785000
Apr2024,463,1854,858000
Mar2024,710,1788,1270000
Mar2024,463,1728,800000
Mar2024,538,1486,800000
