date,sqft,psf,price
Jan2026,571,1437,820000
Jan2026,527,1403,740000
Oct2025,570,1350,770000
Oct2025,635,1370,870000
Oct2025,570,1385,790000
Sep2025,528,1361,718000
Sep2025,538,1371,738000
Aug2025,1001,1339,1340000
Aug2025,570,1362,777000
Jul2025,861,1359,1170000
Jul2025,571,1337,763000
Jul2025,625,1361,850000
Jul2025,1206,1327,1600000
Jun2025,1087,1403,1525000
Jun2025,753,1407,1060000
Apr2025,571,1367,780000
Mar2025,581,1425,828000
Mar2025,538,1338,720000
Feb2025,861,1382,1190000
Feb2025,635,1346,855000
Feb2025,538,1329,715000
Jan2025,861,1353,1165000
Jan2025,624,1410,880000
Jan2025,1087,1426,1550000
Dec2024,990,1303,1290000
Dec2024,1206,1410,1700000
Dec2024,571,1332,760000
Nov2024,635,1351,858000
Sep2024,538,1319,710000
Sep2024,753,1261,950000
Sep2024,754,1340,1010000
Aug2024,754,1274,960000
Aug2024,1087,1361,1480000
Jun2024,764,1295,990000
Jun2024,571,1402,800000
Jun2024,1206,1327,1600000
May2024,538,1282,690000
May2024,571,1288,735000
Apr2024,1206,1269,1530000
Apr2024,861,1333,1148000
Apr2024,861,1370,1180000
Mar2024,753,1294,975000
