date,sqft,psf,price
Feb2026,527,1496,788000
Feb2026,829,1554,1288000
Feb2026,1098,1567,1720000
Feb2026,549,1435,788000
Dec2025,829,1520,1260000
Dec2025,850,1454,1236000
Nov2025,528,1435,757000
Oct2025,517,1529,790000
Oct2025,829,1460,1210000
Oct2025,549,1457,800000
Sep2025,904,1367,1236000
Sep2025,517,1471,760000
Aug2025,527,1433,755000
Jul2025,528,1469,775000
Jul2025,775,1600,1240000
Jul2025,1098,1585,1740000
Jul2025,786,1512,1188000
Jun2025,850,1440,1224000
Jun2025,775,1574,1220000
Jun2025,829,1448,1200000
May2025,527,1441,760000
Apr2025,829,1532,1270000
Mar2025,1248,1442,1800000
Mar2025,527,1422,750000
Mar2025,517,1399,723000
Mar2025,1399,1572,2200000
Feb2025,775,1484,1150000
Feb2025,517,1548,800000
Jan2025,1324,1284,1700000
Dec2024,829,1520,1260000
Dec2024,549,1521,835000
Dec2024,851,1452,1235000
Nov2024,2162,948,2050000
Nov2024,527,1498,790000
Nov2024,829,1484,1230000
Oct2024,527,1530,807000
Oct2024,1087,957,1040000
Oct2024,1098,1494,1640000
Sep2024,517,1510,780000
Sep2024,646,1324,855000
Sep2024,2531,974,2465000
Aug2024,549,1495,820000
Aug2024,517,1510,780000
Aug2024,538,1421,765000
Jul2024,850,1394,1185000
Jul2024,1668,1020,1701000
Jun2024,829,1568,1300000
Jun2024,517,1471,760000
Jun2024,517,1452,750000
May2024,549,1457,800000
May2024,527,1532,808000
May2024,527,1517,800000
May2024,1098,1457,1600000
May2024,527,1460,770000
May2024,1077,1500,1615000
Apr2024,1077,1514,1630000
Apr2024,1852,1053,1950000
Apr2024,1098,1492,1638000
Apr2024,517,1525,788000
Apr2024,775,1561,1210000
Apr2024,851,1446,1230000
Apr2024,786,1502,1180000
Mar2024,829,1424,1180000
Mar2024,657,1302,855000
