date,sqft,psf,price
Feb2026,1023,1662,1700000
Feb2026,710,1689,1200000
Feb2026,1022,1653,1690000
Jan2026,495,1608,796000
Dec2025,1130,1655,1870000
Dec2025,936,1495,1400000
Nov2025,592,1647,975000
Oct2025,980,1659,1625000
Oct2025,710,1668,1185000
Sep2025,937,1655,1550000
Sep2025,1023,1643,1680000
Sep2025,495,1626,805000
Aug2025,495,1575,780000
Aug2025,495,1581,783000
Aug2025,936,1602,1500000
Aug2025,495,1632,808000
Jul2025,1313,1736,2280000
Jul2025,592,1655,980000
Jul2025,700,1644,1150000
Jun2025,979,1690,1655000
Jun2025,829,1514,1255000
Jun2025,700,1715,1200000
Jun2025,495,1575,780000
Jun2025,980,1633,1600000
Jun2025,883,1588,1401000
May2025,883,1620,1430000
May2025,937,1655,1550000
May2025,592,1622,960000
May2025,937,1623,1520000
May2025,613,1415,868000
May2025,936,1634,1530000
May2025,936,1442,1350000
Apr2025,710,1689,1200000
Apr2025,699,1714,1198000
Mar2025,711,1672,1188000
Mar2025,807,1512,1220000
Mar2025,495,1575,780000
Mar2025,937,1591,1490000
Mar2025,829,1508,1250000
Jan2025,1313,1713,2250000
Jan2025,980,1633,1600000
Dec2024,829,1508,1250000
Nov2024,979,1703,1668000
Nov2024,700,1672,1170000
Nov2024,495,1666,825000
Oct2024,980,1682,1648000
Oct2024,937,1644,1540000
Oct2024,883,1618,1428000
Oct2024,614,1610,988000
Oct2024,936,1551,1452000
Oct2024,936,1602,1500000
Aug2024,431,1695,730000
Aug2024,937,1591,1490000
Aug2024,710,1689,1200000
Jun2024,818,1662,1360000
May2024,592,1669,988000
May2024,700,1669,1168000
May2024,495,1616,800000
May2024,818,1687,1380000
Apr2024,614,1385,850000
Apr2024,980,1662,1628000
Apr2024,495,1656,820000
Mar2024,937,1612,1510000
Mar2024,495,1555,770000
