date,sqft,psf,price
Feb2026,570,1525,870000
Jan2026,614,1595,978000
Jan2026,571,1486,848000
Jan2026,732,1529,1118000
Jan2026,571,1621,925000
Jan2026,926,1599,1480000
Jan2026,872,1457,1270000
Dec2025,926,1577,1460000
Dec2025,1163,1634,1900000
Dec2025,850,1476,1255000
Dec2025,1163,1419,1650000
Dec2025,1227,1573,1930000
Nov2025,732,1538,1125000
Nov2025,571,1595,910000
Nov2025,1001,1528,1530000
Nov2025,1065,1501,1599000
Nov2025,1065,1436,1530000
Nov2025,710,1492,1060000
Oct2025,732,1523,1115000
Oct2025,1184,1495,1770000
Oct2025,1044,1492,1558000
Oct2025,495,1622,803000
Sep2025,1227,1516,1860000
Sep2025,732,1553,1136000
Aug2025,570,1455,830000
Aug2025,732,1476,1080000
Aug2025,1066,1520,1619000
Aug2025,495,1608,796000
Aug2025,495,1622,803000
Aug2025,732,1579,1155000
Jul2025,1163,1488,1730000
Jul2025,850,1491,1268000
Jul2025,872,1443,1258000
Jul2025,1238,1422,1760000
Jul2025,1098,1485,1630000
Jul2025,979,1409,1380000
Jul2025,1098,1321,1450000
Jul2025,1184,1482,1755000
Jul2025,495,1577,781000
Jun2025,850,1523,1295000
Jun2025,570,1611,918000
Jun2025,850,1470,1250000
May2025,1044,1505,1571000
May2025,495,1555,770000
May2025,926,1532,1418000
May2025,732,1489,1090000
May2025,1173,1398,1640000
May2025,614,1496,918000
May2025,1001,1483,1485000
Apr2025,1098,1484,1628000
Apr2025,980,1378,1350000
Apr2025,732,1544,1130000
Apr2025,1001,1468,1470000
Apr2025,926,1469,1360000
Apr2025,732,1547,1132000
Apr2025,1098,1521,1670000
Apr2025,495,1484,735000
Apr2025,495,1555,770000
Apr2025,710,1610,1143000
Apr2025,571,1481,845000
Apr2025,926,1500,1388000
Apr2025,980,1378,1350000
Mar2025,1044,1485,1550000
Mar2025,850,1470,1250000
Mar2025,495,1575,780000
Mar2025,614,1442,885000
Mar2025,1163,1505,1750000
