date,sqft,psf,price
Feb2026,1281,1994,2554000
Nov2025,1292,2147,2773000
Feb2025,1206,1929,2326000
Jan2025,1033,2165,2237000
Jan2025,1292,2068,2671000
Dec2024,1044,2111,2204000
Dec2024,1033,1959,2024000
Dec2024,1033,2017,2084000
Nov2024,1033,2127,2198000
Nov2024,1216,1894,2304000
Nov2024,883,2345,2070000
Nov2024,1292,1994,2576000
Nov2024,1033,1978,2044000
Oct2024,882,2340,2065000
Oct2024,1033,2072,2141000
Oct2024,1206,1906,2298000
Oct2024,1033,1977,2043000
Sep2024,678,1991,1350000
Sep2024,1033,2135,2206000
Sep2024,1034,2119,2190000
Sep2024,1270,2080,2642000
Sep2024,1270,2106,2675000
Sep2024,883,2320,2048000
Aug2024,1291,2100,2712000
Aug2024,1292,1963,2536000
Aug2024,1540,1996,3073000
Aug2024,1270,1991,2529000
Aug2024,1077,2153,2318000
Aug2024,1076,2134,2297000
Aug2024,1033,2165,2237000
Aug2024,1034,1997,2064000
Aug2024,1034,2087,2157000
Jul2024,1034,2147,2219000
Jul2024,1076,2114,2275000
Jul2024,926,2202,2038000
Jul2024,1034,2146,2218000
Jul2024,1034,1968,2034000
Jul2024,1033,1959,2024000
Jul2024,1033,2046,2114000
Jul2024,1540,1983,3053000
Jul2024,1033,2107,2177000
Jul2024,1034,2055,2124000
Jul2024,1292,2003,2587000
Jun2024,1033,1948,2013000
Jun2024,1033,1981,2047000
Jun2024,1206,1833,2210000
Jun2024,1033,2127,2198000
Jun2024,1098,1868,2051000
Jun2024,883,2140,1889000
Jun2024,1033,2069,2138000
Jun2024,1076,2048,2204000
Jun2024,1238,1899,2351000
Jun2024,1033,1978,2044000
Jun2024,1034,2026,2094000
Jun2024,1033,2096,2166000
Jun2024,1077,2114,2276000
Jun2024,1217,1925,2342000
Jun2024,1034,1968,2034000
Jun2024,1033,1979,2045000
Jun2024,1033,2018,2085000
Jun2024,1292,2003,2587000
May2024,1098,1894,2079000
May2024,1517,1838,2789000
May2024,1539,1908,2937000
May2024,1518,1876,2847000
May2024,1034,1939,2004000
May2024,1539,1957,3012000
May2024,1238,1902,2355000
May2024,1033,1977,2043000
May2024,1539,1983,3052000
May2024,1076,2134,2297000
May2024,1033,2066,2135000
May2024,1033,2048,2116000
May2024,1033,2046,2114000
May2024,1033,1976,2042000
May2024,926,2082,1927000
Apr2024,1076,2125,2287000
Apr2024,1270,2010,2553000
Apr2024,926,2094,1938000
Apr2024,1033,2067,2136000
Apr2024,1033,2007,2074000
Apr2024,1033,2077,2146000
Apr2024,1033,2107,2177000
Apr2024,1033,1979,2045000
Apr2024,1217,1805,2196000
Apr2024,904,1903,1721000
Apr2024,1518,1896,2878000
Apr2024,1033,1978,2044000
Apr2024,926,2111,1954000
Apr2024,1033,1980,2046000
Apr2024,1270,2000,2540000
Apr2024,1539,1967,3028000
Apr2024,1539,1954,3008000
Apr2024,1033,2007,2074000
Apr2024,1034,1966,2032000
Apr2024,926,2139,1980000
Apr2024,1033,2164,2236000
Apr2024,1077,2153,2318000
Apr2024,1076,2174,2340000
Apr2024,1034,1997,2064000
Apr2024,1292,1946,2514000
Apr2024,1033,1979,2045000
Apr2024,926,2116,1959000
Apr2024,1034,1998,2065000
Apr2024,1270,1892,2403000
Apr2024,926,2010,1861000
Apr2024,1292,1938,2503000
Apr2024,1033,2018,2085000
Apr2024,1033,1988,2054000
Apr2024,1034,1998,2065000
Apr2024,1270,1919,2437000
Apr2024,1292,2020,2609000
Apr2024,1033,1980,2046000
Apr2024,1292,1972,2547000
Apr2024,1034,2026,2094000
Mar2024,1292,2057,2657000
Mar2024,1033,2095,2165000
Mar2024,1217,1819,2213000
Mar2024,1076,2058,2215000
Mar2024,1033,2036,2104000
Mar2024,1474,1899,2800000
Mar2024,1539,2089,3216000
Mar2024,1291,1994,2575000
Mar2024,1292,1982,2560000
Mar2024,1270,2036,2586000
Mar2024,1033,1987,2053000
Mar2024,1292,1990,2571000
Mar2024,926,2095,1939000
Mar2024,1033,2048,2116000
Mar2024,1033,2037,2105000
Mar2024,1033,2068,2137000
Mar2024,1034,2087,2157000
Mar2024,926,2009,1860000
Mar2024,1033,2008,2075000
Mar2024,1033,2007,2074000
Mar2024,1292,2048,2646000
Mar2024,1292,2047,2644000
Mar2024,1292,2030,2622000
