date,sqft,psf,price
Feb2026,624,1482,925000
Feb2026,624,1470,918000
Jan2026,581,1480,860000
Jan2026,624,1450,905000
Jan2026,614,1589,975000
Dec2025,613,1467,900000
Dec2025,807,1782,1438000
Dec2025,624,1522,950000
Nov2025,624,1450,905000
Nov2025,840,1510,1268000
Sep2025,840,1667,1400000
Sep2025,517,1626,840000
Aug2025,624,1490,930000
Aug2025,592,1461,865000
Jul2025,614,1496,918000
Jun2025,807,1548,1250000
Jun2025,624,1474,920000
May2025,517,1616,835000
Apr2025,517,1587,820000
Mar2025,624,1514,945000
Feb2025,517,1655,855000
Feb2025,624,1570,980000
Jan2025,614,1548,950000
Jan2025,592,1571,930000
Dec2024,807,1858,1500000
Dec2024,506,1591,805000
Nov2024,625,1518,948000
Nov2024,807,1697,1370000
Oct2024,625,1510,943000
Oct2024,592,1562,925000
Sep2024,517,1548,800000
Sep2024,624,1762,1100000
Sep2024,517,1583,818000
Sep2024,624,1490,930000
Sep2024,807,1685,1360000
Aug2024,506,1601,810000
Aug2024,624,1571,981000
Aug2024,625,1518,948000
Jul2024,818,1637,1338000
Jul2024,624,1520,948000
Jul2024,807,1610,1300000
Jul2024,818,1672,1368000
Jul2024,624,1490,930000
May2024,517,1577,815000
May2024,549,1430,785000
May2024,614,1662,1020000
May2024,625,1502,938000
Apr2024,818,1687,1380000
Apr2024,549,1485,815000
Mar2024,840,1548,1300000
