date,sqft,psf,price
Feb2026,1518,2046,3105000
Jan2026,1518,2010,3051000
Jan2026,678,2362,1602000
Jan2026,1518,2022,3069000
Jan2026,1227,1895,2325000
Jan2026,1378,1890,2604000
Dec2025,1378,1890,2604000
Dec2025,1517,1919,2912000
Nov2025,840,2041,1714000
Nov2025,1518,1997,3031000
Nov2025,850,2093,1780000
Nov2025,700,2374,1661000
Nov2025,1518,2046,3105000
Nov2025,1690,1915,3237000
Oct2025,1517,1898,2880000
Oct2025,1690,1891,3196000
Sep2025,1518,1961,2977000
Sep2025,1517,1954,2965000
Sep2025,678,2352,1595000
Aug2025,1690,2012,3400000
Aug2025,1518,1906,2893000
Aug2025,678,2373,1609000
Aug2025,1690,1925,3253000
Aug2025,1690,1906,3221000
Jul2025,1517,1927,2924000
Jul2025,1162,2114,2457000
Jul2025,1163,2122,2467000
Jun2025,678,2373,1609000
Jun2025,1162,2105,2447000
Jun2025,1163,2096,2437000
Jun2025,1690,1934,3269000
May2025,1162,2044,2376000
May2025,1227,1926,2364000
May2025,1162,2131,2477000
May2025,1162,2088,2427000
May2025,678,2352,1595000
May2025,1518,1872,2841000
May2025,1518,1932,2933000
Apr2025,1163,2035,2366000
Apr2025,1690,1944,3285000
Mar2025,678,2354,1596000
Mar2025,1162,2114,2457000
Mar2025,915,2208,2020000
Mar2025,1162,2131,2477000
Mar2025,1163,2061,2396000
Mar2025,1034,2114,2185000
Mar2025,915,2188,2002000
Feb2025,1022,2013,2058000
Feb2025,678,2373,1609000
Feb2025,700,2385,1669000
Feb2025,1518,2054,3117000
Feb2025,1162,2105,2447000
Jan2025,657,2044,1342000
Jan2025,1163,2052,2386000
Jan2025,1066,2027,2160000
Jan2025,1066,2025,2158000
Jan2025,850,2279,1938000
Jan2025,851,2268,1929000
Dec2024,1163,2016,2344000
Dec2024,1518,1904,2890000
Dec2024,1162,2111,2454000
Dec2024,1690,1953,3300000
Dec2024,1163,1868,2172000
Dec2024,1518,1969,2988000
Dec2024,1033,2106,2176000
Dec2024,1033,2097,2167000
Dec2024,1033,2080,2149000
Dec2024,1453,1890,2746000
Dec2024,850,2234,1900000
Dec2024,1162,2008,2334000
Dec2024,678,2339,1586000
Dec2024,678,2320,1573000
Dec2024,915,2198,2011000
Nov2024,1163,2085,2424000
Nov2024,1162,2077,2414000
Nov2024,1033,2071,2140000
Nov2024,850,2224,1891000
Nov2024,1517,1925,2921000
Nov2024,1033,2135,2206000
Nov2024,678,2309,1566000
Nov2024,1518,1912,2902000
Nov2024,1034,2117,2188000
Nov2024,678,2318,1572000
Nov2024,1517,2012,3053000
Nov2024,678,2318,1572000
Oct2024,1033,2126,2197000
Oct2024,678,2308,1565000
Oct2024,678,2299,1559000
Oct2024,678,2289,1552000
Oct2024,1163,1981,2303000
Oct2024,678,2308,1565000
Oct2024,678,2339,1586000
Oct2024,915,2168,1984000
Oct2024,1162,2025,2354000
Oct2024,915,2109,1930000
Oct2024,657,2044,1342000
Oct2024,1518,1988,3017000
Oct2024,1518,1948,2957000
Oct2024,678,2328,1579000
Oct2024,1518,1940,2945000
Sep2024,1033,2109,2179000
Sep2024,1690,1972,3332000
Sep2024,850,2213,1882000
Sep2024,1033,2054,2122000
Sep2024,1033,2045,2113000
Sep2024,1034,2027,2095000
Sep2024,678,2308,1565000
Sep2024,1033,2036,2104000
Sep2024,678,2297,1558000
Sep2024,915,2159,1975000
Sep2024,1162,2051,2384000
Sep2024,1518,1956,2969000
Sep2024,915,2129,1948000
Sep2024,1162,2034,2364000
Sep2024,1033,2144,2215000
Aug2024,915,2178,1993000
Aug2024,1033,2019,2086000
Aug2024,1033,2083,2152000
Aug2024,1162,1946,2262000
Aug2024,1162,1877,2182000
Jul2024,1163,1911,2222000
Jul2024,517,2402,1241000
Jul2024,517,2388,1234000
Jul2024,517,2388,1234000
Jun2024,850,2203,1873000
Jun2024,850,2203,1873000
Jun2024,1162,1886,2192000
Jun2024,1162,1886,2192000
Jun2024,678,2318,1572000
Jun2024,678,2318,1572000
Jun2024,1518,1972,2993000
Jun2024,1163,1937,2252000
Jun2024,1163,1937,2252000
Jun2024,851,2181,1855000
May2024,1163,2042,2374000
May2024,1163,2042,2374000
May2024,700,2338,1636000
May2024,1690,1962,3316000
May2024,678,2278,1545000
May2024,1163,1894,2202000
May2024,678,2237,1517000
May2024,1163,1920,2232000
May2024,517,2375,1227000
May2024,678,2225,1509000
May2024,700,2371,1659000
May2024,1163,2016,2344000
May2024,850,2171,1846000
May2024,1163,1904,2214000
May2024,1162,1896,2204000
May2024,678,2274,1542000
May2024,1033,2152,2224000
Apr2024,915,2100,1921000
Apr2024,915,2100,1921000
Apr2024,678,2215,1502000
Apr2024,678,2215,1502000
Apr2024,1033,2046,2114000
Apr2024,1033,2046,2114000
Apr2024,915,2090,1912000
Apr2024,915,2090,1912000
Apr2024,678,2256,1530000
Apr2024,678,2256,1530000
Mar2024,833,2327,1628000
Mar2024,833,2327,1628000
Mar2024,678,2297,1558000
Mar2024,678,2297,1558000
Mar2024,1033,2010,2077000
Mar2024,1033,2010,2077000
Mar2024,915,2119,1939000
Mar2024,915,2119,1939000
