date,sqft,psf,price
Feb2026,1012,1660,1680000
Feb2026,1065,1772,1888000
Dec2025,947,1679,1590000
Dec2025,947,1676,1588000
Nov2025,1012,1759,1780000
Nov2025,721,1525,1100000
Oct2025,947,1742,1650000
Oct2025,1346,1657,2230000
Oct2025,1066,1755,1870000
Oct2025,624,1698,1060000
Sep2025,947,1689,1600000
Sep2025,1292,1626,2100000
Sep2025,624,1634,1020000
Sep2025,1012,1660,1680000
Aug2025,947,1782,1688000
Aug2025,1012,1774,1795000
Aug2025,1173,1790,2100000
Aug2025,1346,1709,2300000
Jul2025,1066,1736,1850000
Jul2025,624,1663,1038000
Jun2025,1012,1807,1828000
Jun2025,1087,1481,1610000
May2025,947,1731,1640000
May2025,1389,1548,2150000
Apr2025,947,1689,1600000
Mar2025,710,1689,1200000
Feb2025,1173,1475,1730000
Feb2025,1012,1739,1760000
Nov2024,1044,1626,1698000
Nov2024,947,1710,1620000
Nov2024,1044,1647,1720000
Oct2024,1302,1536,2000000
Oct2024,710,1619,1150000
Aug2024,581,1493,868000
Jul2024,614,1695,1040000
Jul2024,613,1630,1000000
Jul2024,1195,1573,1880000
Jul2024,1098,1457,1600000
Jul2024,1248,1530,1910000
Jun2024,990,1717,1700000
Jun2024,624,1578,985000
Jun2024,614,1682,1032000
May2024,710,1689,1200000
Apr2024,711,1622,1152000
Apr2024,1044,1556,1625000
Mar2024,991,1595,1580000
Mar2024,947,1547,1465000
