date,sqft,psf,price
Feb2026,614,1369,840000
Feb2026,613,1379,846000
Feb2026,614,1377,845000
Feb2026,614,1336,820000
Feb2026,614,1385,850000
Jan2026,614,1418,870000
Dec2025,614,1351,828000
Dec2025,613,1304,800000
Dec2025,614,1369,840000
Nov2025,613,1353,830000
Nov2025,613,1353,830000
Nov2025,613,1353,830000
Sep2025,613,1371,841000
Sep2025,614,1385,850000
Sep2025,851,1352,1150000
Sep2025,624,1390,868000
Sep2025,613,1345,825000
Sep2025,614,1312,805000
Aug2025,614,1385,850000
Aug2025,614,1336,820000
Aug2025,614,1333,818000
Aug2025,614,1382,848000
Jul2025,613,1304,800000
Jul2025,613,1304,800000
Jun2025,624,1358,848000
May2025,883,1391,1228000
May2025,872,1374,1198000
May2025,613,1304,800000
May2025,614,1312,805000
Mar2025,861,1347,1160000
Mar2025,614,1328,815000
Feb2025,614,1385,850000
Jan2025,614,1320,810000
Jan2025,614,1328,815000
Jan2025,872,1376,1200000
Jan2025,614,1377,845000
Dec2024,614,1336,820000
Dec2024,614,1289,791000
Nov2024,613,1345,825000
Oct2024,872,1319,1150000
Oct2024,614,1317,808000
Oct2024,614,1333,818000
Sep2024,861,1335,1150000
Sep2024,614,1333,818000
Sep2024,614,1341,823000
Sep2024,861,1266,1090000
Sep2024,937,1356,1270000
Aug2024,894,1343,1200000
Aug2024,613,1402,860000
Jul2024,614,1382,848000
Jun2024,624,1344,838000
Mar2024,872,1306,1138000
