date,sqft,psf,price
Feb2026,743,1776,1318000
Jan2026,689,2061,1420000
Jan2026,754,2001,1508000
Dec2025,743,2033,1510000
Dec2025,1098,2049,2250000
Dec2025,506,1898,960000
Dec2025,506,1858,939000
Nov2025,495,1777,880000
Nov2025,1098,2049,2250000
Nov2025,1108,2120,2350000
Nov2025,700,2044,1430000
Nov2025,743,1966,1460000
Nov2025,613,2054,1260000
Oct2025,506,1844,933000
Oct2025,613,2054,1260000
Oct2025,700,2098,1468000
Oct2025,1098,2140,2350000
Oct2025,743,1959,1455000
Oct2025,1098,2077,2280000
Oct2025,753,1991,1500000
Oct2025,700,2030,1420000
Sep2025,700,2067,1446000
Sep2025,1055,2180,2300000
Sep2025,495,1797,890000
Sep2025,1098,2005,2200000
Sep2025,646,1963,1268000
Sep2025,1109,2065,2290000
Sep2025,700,2041,1428000
Sep2025,743,1966,1460000
Sep2025,1098,2095,2300000
Sep2025,484,1734,840000
Sep2025,506,1907,965000
Sep2025,743,1993,1480000
Sep2025,613,1956,1200000
Aug2025,1109,2065,2290000
Aug2025,754,2017,1520000
Aug2025,753,1991,1500000
Aug2025,797,1883,1500000
Aug2025,1012,2143,2168000
Aug2025,743,1912,1420000
Aug2025,646,1991,1286000
Aug2025,700,2084,1458000
Aug2025,754,1842,1388000
Aug2025,753,1975,1488000
Jul2025,700,2037,1425000
Jul2025,700,2030,1420000
Jul2025,700,2037,1425000
Jul2025,495,1834,908000
Jul2025,646,1781,1150000
Jun2025,1098,2095,2300000
Jun2025,700,2087,1460000
Jun2025,1012,1868,1890000
Jun2025,495,1828,905000
Jun2025,1098,2085,2288000
Jun2025,743,1993,1480000
May2025,700,2041,1428000
May2025,506,1898,960000
May2025,743,1970,1463000
May2025,700,2072,1450000
Apr2025,1098,2095,2300000
Apr2025,743,1818,1350000
Apr2025,753,1963,1478000
Apr2025,1335,1910,2550000
Apr2025,743,1898,1410000
Apr2025,700,2055,1438000
Apr2025,495,1757,870000
Mar2025,1012,2125,2150000
Mar2025,495,1747,865000
Mar2025,495,1777,880000
Mar2025,700,2001,1400000
Mar2025,743,1966,1460000
Mar2025,700,2080,1455000
Mar2025,700,2015,1410000
Mar2025,506,1898,960000
Mar2025,743,1979,1470000
Feb2025,495,1707,845000
Feb2025,495,1793,888000
Feb2025,624,2050,1280000
Feb2025,506,1898,960000
Jan2025,700,2058,1440000
Jan2025,1012,2056,2080000
Dec2024,689,1986,1368000
Dec2024,743,1925,1430000
Dec2024,495,1818,900000
Dec2024,1012,2125,2150000
Dec2024,495,1757,870000
Nov2024,506,1902,962000
Nov2024,743,1977,1468000
Nov2024,1334,1836,2450000
Nov2024,1012,1868,1890000
Nov2024,624,1989,1242000
Nov2024,700,2115,1480000
Nov2024,689,1967,1355000
Oct2024,1098,2050,2250000
Sep2024,506,1913,968000
Sep2024,754,1996,1504000
Sep2024,495,1842,912000
Sep2024,700,1987,1390000
Sep2024,1012,1977,2000000
Aug2024,646,1920,1240000
Aug2024,743,1925,1430000
Aug2024,1098,2022,2220000
Aug2024,1012,2105,2130000
Aug2024,700,2001,1400000
Jul2024,700,2012,1408000
Jul2024,613,2005,1230000
Jul2024,700,2030,1420000
Jul2024,646,1982,1280000
Jul2024,743,1977,1468000
Jul2024,689,2003,1380000
Jun2024,614,1923,1180000
Jun2024,495,1834,908000
Jun2024,495,1741,862000
May2024,700,2030,1420000
May2024,495,1838,910000
May2024,495,1799,890000
May2024,506,1884,953000
May2024,495,1717,850000
Apr2024,495,1818,900000
Apr2024,495,1874,928000
Apr2024,495,1777,880000
Apr2024,1098,1894,2080000
Mar2024,743,1898,1410000
Mar2024,495,1824,903000
