date,sqft,psf,price
Nov2025,1152,1502,1730000
Nov2025,1152,1524,1755000
Oct2025,1410,1560,2200000
Oct2025,1152,1502,1730000
Sep2025,743,1346,1000000
Sep2025,1292,1548,2000000
Sep2025,797,1481,1180000
Aug2025,861,1510,1300000
Aug2025,1292,1548,2000000
Aug2025,861,1510,1300000
Aug2025,1248,1622,2025000
Jul2025,1151,1559,1795000
Jul2025,796,1532,1220000
Mar2025,1626,1427,2320000
Feb2025,1227,1711,2100000
Feb2025,1227,1614,1980000
Jan2025,1152,1545,1780000
Jan2025,1410,1580,2228000
Nov2024,1152,1663,1915000
Oct2024,1248,1546,1930000
Oct2024,1248,1594,1990000
Oct2024,1475,1336,1970000
Sep2024,1636,1401,2291000
Sep2024,796,1454,1158000
Sep2024,861,1440,1240000
Sep2024,743,1454,1080000
Jul2024,807,1474,1190000
Jul2024,1151,1559,1795000
May2024,1227,1548,1900000
May2024,861,1438,1238000
May2024,861,1394,1200000
May2024,1152,1641,1890000
May2024,796,1582,1260000
Apr2024,1410,1610,2270000
