date,sqft,psf,price
Feb2026,1280,1993,2554000
Nov2025,1291,2146,2773000
Feb2025,1205,1929,2326000
Jan2025,1291,2067,2671000
Jan2025,1033,2164,2237000
Dec2024,1033,2016,2084000
Dec2024,1033,1958,2024000
Dec2024,1044,2110,2204000
Nov2024,1216,1894,2304000
Nov2024,1033,1978,2044000
Nov2024,1033,2127,2198000
Nov2024,1291,1994,2576000
Nov2024,882,2345,2070000
Oct2024,1033,1977,2043000
Oct2024,1033,2071,2141000
Oct2024,882,2339,2065000
Oct2024,1205,1906,2298000
Sep2024,678,1990,1350000
Sep2024,1033,2134,2206000
Sep2024,1270,2106,2675000
Sep2024,882,2320,2048000
Sep2024,1033,2119,2190000
Sep2024,1270,2080,2642000
Aug2024,1076,2133,2297000
Aug2024,1033,2087,2157000
Aug2024,1291,1963,2536000
Aug2024,1076,2153,2318000
Aug2024,1033,1997,2064000
Aug2024,1539,1996,3073000
Aug2024,1033,2164,2237000
Aug2024,1291,2099,2712000
Aug2024,1270,1991,2529000
Jul2024,1033,1968,2034000
Jul2024,1033,2045,2114000
Jul2024,925,2201,2038000
Jul2024,1291,2002,2587000
Jul2024,1539,1983,3053000
Jul2024,1033,2146,2218000
Jul2024,1033,2106,2177000
Jul2024,1033,1958,2024000
Jul2024,1076,2113,2275000
Jul2024,1033,2147,2219000
Jul2024,1033,2055,2124000
Jun2024,1291,2002,2587000
Jun2024,1033,1978,2044000
Jun2024,1076,2047,2204000
Jun2024,1033,1980,2047000
Jun2024,882,2140,1889000
Jun2024,1033,2017,2085000
Jun2024,1076,2114,2276000
Jun2024,1033,2096,2166000
Jun2024,1237,1899,2351000
Jun2024,1205,1833,2210000
Jun2024,1033,2069,2138000
Jun2024,1033,1979,2045000
Jun2024,1033,2026,2094000
Jun2024,1033,1948,2013000
Jun2024,1033,2127,2198000
Jun2024,1033,1968,2034000
Jun2024,1216,1925,2342000
Jun2024,1097,1868,2051000
May2024,1033,2066,2135000
May2024,1033,1939,2004000
May2024,1097,1893,2079000
May2024,1033,2047,2116000
May2024,1033,2045,2114000
May2024,1237,1902,2355000
May2024,1539,1908,2937000
May2024,1539,1982,3052000
May2024,1033,1976,2042000
May2024,1539,1956,3012000
May2024,1517,1837,2789000
May2024,1033,1977,2043000
May2024,1517,1875,2847000
May2024,1076,2133,2297000
May2024,925,2081,1927000
Apr2024,925,2138,1980000
Apr2024,1539,1967,3028000
Apr2024,1033,1997,2064000
Apr2024,1291,1971,2547000
Apr2024,1270,2010,2553000
Apr2024,1033,2163,2236000
Apr2024,1033,2017,2085000
Apr2024,1033,1979,2046000
Apr2024,1033,2067,2136000
Apr2024,1033,2026,2094000
Apr2024,1517,1896,2878000
Apr2024,1539,1954,3008000
Apr2024,904,1903,1721000
Apr2024,1033,1998,2065000
Apr2024,1291,1946,2514000
Apr2024,1076,2124,2287000
Apr2024,1076,2153,2318000
Apr2024,1033,1987,2054000
Apr2024,1270,1999,2540000
Apr2024,925,2010,1861000
Apr2024,1291,2019,2609000
Apr2024,1033,1978,2044000
Apr2024,925,2110,1954000
Apr2024,1270,1918,2437000
Apr2024,1033,2007,2074000
Apr2024,925,2093,1938000
Apr2024,1033,1979,2046000
Apr2024,1076,2173,2340000
Apr2024,925,2116,1959000
Apr2024,1033,2106,2177000
Apr2024,1291,1937,2503000
Apr2024,1270,1891,2403000
Apr2024,1033,1979,2045000
Apr2024,1216,1805,2196000
Apr2024,1033,2076,2146000
Apr2024,1033,1966,2032000
Mar2024,925,2071,1918000
Mar2024,1291,1946,2514000
Mar2024,1474,1898,2800000
Mar2024,1076,2057,2215000
Mar2024,1291,2029,2622000
Mar2024,1033,2087,2157000
Mar2024,1033,2095,2165000
Mar2024,925,2013,1864000
Mar2024,1033,2008,2075000
Mar2024,925,2094,1939000
Mar2024,1270,2035,2586000
Mar2024,1291,2057,2657000
Mar2024,1291,2048,2646000
Mar2024,1033,2068,2137000
Mar2024,1033,2036,2104000
Mar2024,1033,1989,2056000
Mar2024,1033,2007,2074000
Mar2024,1033,1986,2053000
Mar2024,1539,2089,3216000
Mar2024,1291,1993,2575000
Mar2024,1033,2047,2116000
Mar2024,1291,1990,2571000
Mar2024,1033,2027,2095000
Mar2024,1216,1819,2213000
Mar2024,1291,2046,2644000
Mar2024,1033,2037,2105000
Mar2024,1291,1981,2560000
Mar2024,925,2009,1860000
Feb2024,1291,2057,2657000
Feb2024,925,2030,1880000
Feb2024,1076,2018,2173000
Feb2024,925,2093,1938000
Feb2024,1033,1955,2021000
Feb2024,1539,2044,3147000
Feb2024,1076,2048,2205000
Feb2024,1076,1970,2121000
Feb2024,1033,2118,2189000
Feb2024,1291,2002,2586000
Jan2024,1033,1959,2025000
Jan2024,1033,2118,2189000
Jan2024,1270,1981,2517000
Jan2024,1033,2006,2073000
Jan2024,1291,2020,2610000
Jan2024,1291,2055,2655000
Jan2024,1033,2101,2172000
Jan2024,925,2036,1885000
Jan2024,1033,1959,2025000
Jan2024,1076,1999,2152000
Dec2023,1076,1979,2131000
Dec2023,1033,2046,2115000
Dec2023,1033,2120,2191000
Nov2023,1033,1948,2013000
Nov2023,925,2058,1906000
Oct2023,1291,1967,2541000
Sep2023,1033,1969,2035000
Sep2023,1539,2005,3086200
Sep2023,1539,2069,3186000
Sep2023,1033,2143,2215000
Sep2023,925,2047,1895000
Aug2023,1033,2016,2084000
Aug2023,1033,2010,2078000
Aug2023,1076,2032,2188200
Aug2023,828,1896,1572200
Aug2023,1033,1991,2058200
Jul2023,505,2368,1198000
Jul2023,828,1932,1602000
Jun2023,1539,1988,3061000
Jun2023,925,2035,1884000
Jun2023,1291,1956,2527000
May2023,828,1917,1589000
May2023,1291,1981,2559000
May2023,678,2161,1466000
May2023,742,2210,1642000
May2023,602,2274,1371000
May2023,742,2249,1671000
May2023,1270,1917,2435000
May2023,678,2095,1421000
May2023,882,2173,1918000
May2023,882,2042,1803000
May2023,1076,2155,2320000
May2023,505,2401,1215000
May2023,1076,2081,2240000
May2023,882,2093,1848000
May2023,505,2286,1157000
May2023,1076,1967,2118000
Apr2023,505,2354,1191000
Apr2023,1033,2103,2174000
Apr2023,1033,2016,2084000
Apr2023,602,2299,1386000
Apr2023,505,2322,1175000
Apr2023,1033,2125,2196000
Apr2023,678,2142,1453000
Apr2023,602,2010,1212000
Apr2023,742,1965,1460000
Apr2023,742,1929,1433000
Apr2023,1291,2070,2674000
Apr2023,1291,1987,2567000
Mar2023,505,2120,1073000
Mar2023,505,2233,1130000
Mar2023,742,1972,1465000
Mar2023,678,2015,1367000
Mar2023,678,2033,1379000
Mar2023,882,2013,1777000
Mar2023,1033,2108,2179000
Mar2023,602,1990,1200000
Mar2023,882,2054,1813000
Mar2023,678,2092,1419000
Mar2023,602,2159,1302000
Mar2023,602,1995,1203000
Mar2023,882,2023,1786000
Mar2023,1291,1995,2577000
