date,sqft,psf,price
Mar2017,861,1120,965000
Mar2017,947,1039,985000
Mar2017,1108,1010,1120000
Apr2017,1184,961,1138000
Apr2017,1162,1023,1190000
May2017,1184,952,1128000
May2017,1108,1048,1162000
May2017,1151,1067,1230000
Jun2017,925,1040,963000
Jun2017,1140,1004,1146000
Jun2017,1184,1037,1228000
Jun2017,1291,1006,1300000
Jul2017,1173,1052,1235000
Aug2017,1270,858,1090000
Aug2017,1140,964,1100000
Aug2017,1162,1032,1200000
Sep2017,925,1015,940000
Sep2017,861,1099,947000
Sep2017,947,1055,1000000
Sep2017,1108,992,1100000
Sep2017,1140,1016,1160000
Oct2017,925,1047,970000
Oct2017,1108,929,1030000
Oct2017,1140,981,1120000
Oct2017,1119,1080,1210000
Oct2017,1119,1114,1248000
Nov2017,861,1092,940888
Nov2017,1140,1016,1160000
Nov2017,1162,1055,1227000
Dec2017,1108,1046,1160000
Dec2017,1184,1100,1302800
Dec2017,1463,929,1360000
Jan2018,861,1114,960000
Jan2018,925,1047,970000
Jan2018,1108,997,1106000
Jan2018,1140,1021,1165000
Feb2018,925,1037,960000
Feb2018,1184,1087,1288000
Feb2018,1173,1112,1305000
Feb2018,1463,1004,1470000
Mar2018,861,1091,940000
Mar2018,1108,1064,1180000
Mar2018,1108,1073,1190000
Apr2018,861,1114,960000
Apr2018,947,1034,980000
Apr2018,1108,1019,1130000
Apr2018,1140,997,1138000
Apr2018,1108,1040,1154000
Apr2018,1184,1140,1350000
Apr2018,1926,986,1900000
May2018,1108,1064,1180000
May2018,1119,1080,1210000
May2018,1162,1083,1260000
May2018,1173,1090,1280000
Jun2018,861,1114,960000
Jun2018,861,1159,998888
Jun2018,1140,1069,1220000
Jun2018,1140,1073,1225000
Jun2018,1151,1074,1238000
Jun2018,1173,1056,1240000
Jun2018,1173,1097,1288000
Jul2018,1140,1047,1195000
Jul2018,1140,1069,1220000
Jul2018,1151,1107,1275000
Aug2018,1108,1077,1195000
Oct2018,925,1058,980000
Oct2018,1108,1026,1138000
Oct2018,1108,1076,1193000
Oct2018,1140,1065,1216000
Oct2018,1108,1100,1220000
Oct2018,1162,1075,1250000
Oct2018,1108,1159,1285000
Oct2018,1173,1150,1350000
Nov2018,925,1078,998000
Dec2018,1162,1092,1270000
Dec2018,1184,1140,1350000
Feb2019,1108,1073,1190000
Feb2019,1184,1072,1270000
Feb2019,1184,1081,1280000
Mar2019,871,1055,920000
Mar2019,861,1138,980000
Mar2019,1173,1052,1235000
Apr2019,861,1079,930000
Apr2019,1184,1123,1330000
May2019,1162,1066,1240000
Jul2019,1108,1099,1218888
Aug2019,947,1076,1020000
Aug2019,1151,1041,1200000
Sep2019,1334,973,1300000
Oct2019,947,1071,1015000
Oct2019,1291,929,1200000
Dec2019,861,1068,920000
Dec2019,947,1013,960000
Dec2019,1184,1055,1250000
Dec2019,1184,1081,1280000
Jan2020,990,989,980000
Jan2020,1151,1041,1200000
Jan2020,1173,1129,1325000
Feb2020,1108,1046,1160000
Feb2020,1184,1021,1210000
Mar2020,1108,936,1038000
Mar2020,1108,938,1040888
Jun2020,1108,947,1050000
Jul2020,1108,965,1070000
Jul2020,1270,929,1180000
Jul2020,1184,1013,1200000
Aug2020,925,1037,960000
Aug2020,1184,1089,1290000
Sep2020,925,1013,938000
Sep2020,1108,983,1090000
Sep2020,1140,1025,1170000
Sep2020,1184,1030,1220000
Oct2020,947,1018,965000
Oct2020,1108,956,1060000
Oct2020,1108,965,1070000
Oct2020,1108,975,1081800
Oct2020,1162,972,1130000
Oct2020,1463,1017,1490000
Nov2020,871,1066,930000
Nov2020,871,1089,950000
Nov2020,1065,929,990000
Dec2020,947,1002,950000
Dec2020,947,1029,975000
Dec2020,1227,896,1100000
Dec2020,1108,1055,1170000
Dec2020,1119,1058,1185000
Dec2020,1162,1073,1248000
Jan2021,1108,1002,1111000
Feb2021,871,1089,950000
Feb2021,936,1030,965000
Feb2021,1162,1053,1225000
Mar2021,925,1020,945000
Mar2021,925,1043,966000
Mar2021,1140,964,1100000
Mar2021,1184,1140,1350000
Apr2021,925,1058,980000
Apr2021,1270,803,1020000
Apr2021,1108,1037,1150000
Apr2021,1108,1055,1170000
Apr2021,1108,1071,1188000
Apr2021,1162,1032,1200000
Apr2021,1108,1100,1220000
Apr2021,1151,1059,1220000
Apr2021,1162,1161,1350000
May2021,1108,1008,1118000
May2021,1184,1119,1325000
May2021,1184,1140,1350000
Jun2021,936,1121,1050000
Jun2021,947,1119,1060000
Jun2021,1108,1071,1188000
Jun2021,1227,968,1188000
Jul2021,1108,1035,1148000
Jul2021,1227,949,1165000
Aug2021,925,1053,975000
Aug2021,1108,1091,1210000
Aug2021,1119,1092,1223000
Aug2021,1184,1038,1230000
Aug2021,1108,1127,1250000
Aug2021,1151,1111,1280000
Sep2021,925,1099,1018000
Sep2021,1184,1072,1270000
Oct2021,1140,1051,1200000
Oct2021,1151,1102,1270000
Oct2021,1593,998,1590000
Nov2021,861,1184,1020000
Nov2021,861,1219,1050000
Nov2021,1184,1020,1208000
Nov2021,1162,1204,1400000
Dec2021,871,1203,1048888
Dec2021,1108,1113,1235000
Dec2021,1184,1182,1400000
Jan2022,947,1195,1132000
Feb2022,925,1177,1090000
Feb2022,1151,1102,1270000
Feb2022,1162,1101,1280000
Mar2022,1140,1156,1320000
Apr2022,861,1161,1000000
Apr2022,1108,1097,1217000
Apr2022,1108,1163,1290000
Apr2022,1184,1157,1370000
May2022,1184,1173,1390000
May2022,1184,1207,1430000
Jun2022,1108,1170,1298000
Jun2022,1184,1203,1425000
Jul2022,1119,1161,1300000
Aug2022,861,1230,1060000
Aug2022,1270,1062,1350000
Aug2022,1184,1249,1480000
Sep2022,925,1220,1130000
Sep2022,936,1228,1150000
Sep2022,1054,1184,1250000
Sep2022,1108,1235,1370000
Sep2022,1108,1244,1380000
Oct2022,861,1213,1045000
Oct2022,925,1188,1100000
Nov2022,1140,1240,1415000
Nov2022,1173,1278,1500000
Dec2022,925,1274,1180000
Dec2022,947,1254,1188000
Feb2023,1044,1130,1180000
Mar2023,936,1308,1225000
Mar2023,1119,1278,1430888
Mar2023,1140,1304,1488000
Mar2023,1108,1357,1505000
Mar2023,1140,1346,1536666
Mar2023,1184,1317,1560000
Apr2023,947,1245,1180000
Apr2023,861,1376,1185000
Apr2023,947,1351,1280000
May2023,1140,1332,1520000
May2023,1119,1366,1530000
Jun2023,861,1381,1190000
Jun2023,1140,1349,1540000
Jun2023,1184,1334,1580000
Jun2023,1184,1350,1598888
Jul2023,1184,1351,1600000
Jul2023,1184,1393,1650000
Aug2023,1162,1376,1600000
Sep2023,1140,1384,1580000
Oct2023,861,1416,1220000
Oct2023,1162,1384,1610000
Dec2023,861,1356,1168000
Dec2023,1119,1456,1630000
Dec2023,1108,1488,1650000
Mar2024,1140,1419,1620000
Apr2024,1108,1438,1595000
Apr2024,1184,1436,1700828
May2024,947,1499,1420000
May2024,1044,1388,1450000
May2024,1108,1398,1550000
May2024,1184,1478,1750000
Jun2024,1108,1452,1610888
Jun2024,1151,1404,1618000
Jun2024,1184,1393,1650000
Jun2024,1140,1454,1660000
Jun2024,1162,1436,1670000
Jun2024,1173,1448,1700000
Jul2024,1108,1398,1550000
Jul2024,1270,1243,1580000
Jul2024,1108,1452,1610000
Jul2024,1184,1482,1755000
Jul2024,1173,1517,1780000
Aug2024,1162,1505,1750000
Sep2024,947,1372,1300000
Sep2024,1108,1443,1600000
Sep2024,1173,1602,1880000
Oct2024,861,1416,1220000
Oct2024,925,1499,1388000
Oct2024,1044,1379,1440000
Oct2024,1593,1236,1970000
Nov2024,925,1530,1416888
Nov2024,1108,1443,1600000
Nov2024,1140,1435,1638000
Nov2024,1184,1562,1850000
Jan2025,925,1490,1380000
Jan2025,1108,1515,1680000
Jan2025,1162,1548,1800000
Jan2025,1184,1646,1950000
Mar2025,925,1479,1370000
Mar2025,1108,1533,1700000
Mar2025,1162,1505,1750000
Apr2025,1227,1400,1718000
May2025,1108,1573,1745000
Jun2025,861,1486,1280000
Jun2025,936,1452,1360000
Jun2025,947,1514,1435000
Jun2025,1108,1470,1630000
Jun2025,1593,1266,2018000
Jul2025,1108,1434,1590000
Aug2025,947,1509,1430000
Aug2025,1463,1468,2150000
Oct2025,925,1469,1360000
Oct2025,1108,1452,1610000
Oct2025,1119,1473,1650000
Oct2025,1108,1564,1735000
Nov2025,925,1404,1300000
Nov2025,1108,1546,1715000
Nov2025,1173,1474,1730000
Nov2025,1184,1604,1900000
Nov2025,1184,1613,1910000
Dec2025,861,1486,1280000
Dec2025,861,1509,1300000
Dec2025,1108,1542,1710000
Jan2026,1108,1473,1633888
Jan2026,1162,1537,1786800
Feb2026,871,1479,1290000
Feb2026,861,1521,1310000
Feb2026,1108,1533,1700000
Feb2026,1140,1498,1710000
Feb2026,1108,1566,1736888
Feb2026,1173,1644,1930000
Feb2026,1463,1338,1960000
Mar2026,936,1458,1365888
Mar2026,1108,1473,1633888
