date,sqft,psf,price
Feb2026,872,2334,2035000
Feb2026,937,2364,2214000
Feb2026,1109,2271,2518000
Feb2026,936,2295,2149000
Feb2026,936,2425,2271000
Feb2026,936,2389,2237000
Jan2026,732,2316,1695000
Jan2026,937,2273,2128000
Jan2026,872,2268,1977000
Jan2026,872,2220,1936000
Jan2026,872,2243,1955000
Jan2026,872,2288,1994000
Jan2026,678,2479,1681000
Dec2025,936,2341,2192000
Dec2025,936,2285,2139000
Dec2025,678,2517,1707000
Dec2025,732,2384,1745000
Dec2025,764,2263,1729000
Nov2025,678,2502,1697000
Nov2025,764,2268,1733000
Nov2025,764,2232,1706000
Nov2025,732,2270,1661000
Nov2025,732,2361,1728000
Nov2025,764,2268,1733000
Nov2025,1109,2315,2566000
Nov2025,678,2348,1592000
Nov2025,678,2371,1607000
Nov2025,678,2302,1560000
Nov2025,678,2324,1576000
Nov2025,678,2386,1617000
Nov2025,678,2339,1586000
Nov2025,678,2409,1633000
Nov2025,678,2362,1602000
Nov2025,678,2316,1570000
Nov2025,732,2291,1676000
Nov2025,732,2315,1694000
Nov2025,732,2408,1762000
Nov2025,732,2292,1677000
Nov2025,678,2294,1555000
Nov2025,678,2339,1586000
Nov2025,732,2338,1711000
Nov2025,937,2262,2118000
Nov2025,936,2308,2160000
Nov2025,937,2353,2203000
Nov2025,936,2261,2117000
Nov2025,936,2377,2225000
Nov2025,937,2330,2182000
Nov2025,936,2510,2350000
Nov2025,937,2240,2098000
Nov2025,872,2357,2055000
Nov2025,678,2271,1540000
Nov2025,678,2362,1602000
Nov2025,678,2316,1570000
Nov2025,678,2294,1555000
Nov2025,678,2271,1540000
Nov2025,452,2334,1055000
Nov2025,452,2288,1034000
Nov2025,452,2242,1013000
Nov2025,452,2514,1136000
Nov2025,452,2198,993000
Nov2025,452,2242,1013000
Nov2025,452,2220,1003000
Nov2025,452,2265,1023000
Nov2025,452,2358,1065000
Nov2025,452,2311,1044000
Nov2025,1109,2252,2496000
Nov2025,1453,2453,3564000
Nov2025,1453,2377,3453000
Nov2025,1453,2389,3471000
Nov2025,1453,2435,3539000
Nov2025,1453,2522,3664000
Nov2025,1453,2478,3600000
Nov2025,1453,2454,3566000
Nov2025,775,2406,1864000
Nov2025,775,2268,1757000
Nov2025,764,2245,1716000
Nov2025,764,2359,1802000
Nov2025,1109,2361,2617000
Nov2025,1109,2270,2516000
Nov2025,1109,2384,2643000
Nov2025,1109,2248,2492000
Nov2025,1109,2262,2507000
Nov2025,1109,2408,2669000
Nov2025,1109,2338,2592000
Nov2025,1109,2315,2566000
Nov2025,678,2563,1737000
Nov2025,678,2586,1753000
Nov2025,678,2449,1660000
Nov2025,678,2389,1620000
Nov2025,678,2494,1691000
Nov2025,678,2434,1650000
Nov2025,937,2492,2333000
Nov2025,936,2392,2239000
Nov2025,936,2425,2270000
Nov2025,936,2342,2193000
Nov2025,732,2384,1745000
Nov2025,732,2338,1711000
