date,sqft,psf,price
Dec2018,613,1316,808000
Apr2019,710,1365,970000
Jul2019,710,1309,930000
Jul2019,1044,1340,1400000
Aug2019,710,1351,960000
Aug2019,1302,1266,1650000
Sep2019,1173,1235,1450000
Dec2019,1011,1161,1175000
Jan2020,710,1351,960000
Mar2020,871,1328,1158000
Mar2020,1097,1184,1300000
Jul2020,613,1344,825000
Jul2020,1044,1307,1365000
Jul2020,1227,1124,1380000
Aug2020,882,1268,1120000
Aug2020,1184,1198,1418888
Aug2020,1345,1270,1710000
Oct2020,710,1337,950000
Oct2020,990,1322,1310000
Nov2020,947,1280,1213000
Dec2020,624,1294,808000
Dec2020,1173,1252,1470000
Jan2021,624,1305,815000
Jan2021,914,1366,1250000
Jan2021,947,1351,1280000
Jan2021,1065,1285,1370000
Jan2021,1291,1285,1660000
Feb2021,592,1325,785000
Feb2021,871,1359,1185000
Feb2021,990,1343,1330000
Feb2021,1474,1179,1740000
Mar2021,1291,1300,1680000
Apr2021,947,1361,1290000
Apr2021,947,1412,1338000
Apr2021,1173,1214,1425000
Apr2021,1065,1341,1430000
May2021,624,1374,858000
May2021,871,1341,1170000
May2021,1291,1331,1720000
Jun2021,1011,1334,1350000
Jun2021,1011,1344,1360000
Jun2021,1065,1341,1430000
Jul2021,527,1403,740000
Jul2021,710,1407,1000000
Jul2021,871,1399,1220000
Jul2021,1011,1284,1300000
Jul2021,1173,1387,1628000
Aug2021,527,1384,730000
Sep2021,1011,1403,1420000
Oct2021,1291,1316,1700000
Oct2021,1345,1360,1830000
Nov2021,1011,1335,1351020
Nov2021,1011,1401,1418000
Nov2021,1044,1388,1450000
Nov2021,1194,1339,1600000
Dec2021,914,1353,1238000
Dec2021,947,1393,1320000
Dec2021,947,1435,1360000
Dec2021,1173,1346,1580000
Jan2022,613,1466,900000
Jan2022,1065,1445,1540000
Mar2022,839,1414,1188000
Mar2022,1248,1361,1700000
Apr2022,613,1556,955000
Apr2022,710,1534,1090000
Apr2022,990,1464,1450000
May2022,947,1451,1375000
May2022,990,1444,1430000
Jun2022,527,1431,755000
Jun2022,581,1414,822000
Jun2022,914,1399,1280000
Jun2022,1291,1420,1835000
Jul2022,1291,1361,1758000
Jul2022,1227,1450,1780000
Jul2022,1248,1449,1810000
Sep2022,613,1507,925000
Sep2022,1011,1462,1480000
Oct2022,1011,1411,1428000
Nov2022,957,1524,1460000
Nov2022,1119,1438,1610000
Dec2022,1162,1410,1640000
Feb2023,527,1421,750000
Feb2023,1194,1447,1730000
Mar2023,871,1468,1280000
Mar2023,1184,1401,1660000
Apr2023,527,1450,765000
May2023,1011,1569,1588338
Aug2023,1011,1581,1600000
Sep2023,871,1548,1350000
Sep2023,1011,1561,1580000
Nov2023,624,1601,1000000
Dec2023,947,1551,1470000
Dec2023,1011,1609,1628000
Mar2024,947,1546,1465000
Mar2024,990,1595,1580000
Apr2024,710,1622,1152500
Apr2024,1044,1556,1625000
May2024,710,1689,1200000
Jun2024,624,1577,985000
Jun2024,613,1682,1032000
Jun2024,990,1716,1700000
Jul2024,613,1629,1000000
Jul2024,613,1695,1040000
Jul2024,1097,1457,1600000
Jul2024,1194,1573,1880000
Jul2024,1248,1529,1910000
Aug2024,581,1493,868000
Oct2024,710,1618,1150000
Oct2024,1302,1535,2000000
Nov2024,947,1710,1620000
Nov2024,1044,1626,1698000
Nov2024,1044,1647,1720000
Feb2025,1173,1474,1730000
Feb2025,1011,1739,1760000
Mar2025,710,1689,1200000
Apr2025,947,1689,1600000
May2025,947,1731,1640000
May2025,1388,1548,2150000
Jun2025,1087,1480,1610000
Jun2025,1011,1806,1828000
Jul2025,624,1662,1038000
Jul2025,1065,1736,1850000
Aug2025,947,1782,1688000
Aug2025,1011,1774,1795000
Aug2025,1173,1789,2100000
Aug2025,1345,1709,2300000
Sep2025,624,1633,1020000
Sep2025,947,1689,1600000
Sep2025,1011,1660,1680000
Sep2025,1291,1625,2100000
Oct2025,624,1697,1060000
Oct2025,947,1741,1650000
Oct2025,1065,1754,1870000
Oct2025,1345,1657,2230000
Nov2025,721,1525,1100000
Nov2025,1011,1759,1780000
Dec2025,947,1676,1588000
Dec2025,947,1678,1590000
Feb2026,1011,1660,1680000
Feb2026,1065,1771,1888000
