date,sqft,psf,price
Apr2021,614,1132,695000
Apr2021,614,1140,700000
May2021,614,1075,660000
May2021,614,1075,660000
May2021,614,1156,710000
May2021,614,1189,730000
May2021,872,1072,935000
May2021,861,1092,940000
May2021,883,1076,950000
Jun2021,861,1074,925000
Jul2021,614,1124,690000
Jul2021,614,1164,715000
Jul2021,614,1189,730000
Jul2021,614,1246,765000
Aug2021,614,1124,690000
Aug2021,614,1142,701000
Aug2021,614,1163,714000
Aug2021,861,1092,940000
Sep2021,614,1148,705000
Sep2021,614,1164,715000
Sep2021,893,1008,900000
Oct2021,614,1161,713000
Oct2021,614,1181,725000
Oct2021,614,1213,745000
Oct2021,614,1246,765000
Nov2021,614,1254,770000
Nov2021,850,1058,899000
Dec2021,614,1148,705000
Dec2021,614,1156,710000
Dec2021,614,1287,790000
Dec2021,936,1066,998000
Jan2022,614,1166,716000
Jan2022,614,1181,725000
Jan2022,614,1213,745000
Jan2022,893,1053,940000
Feb2022,614,1221,750000
Feb2022,614,1238,760000
Mar2022,614,1189,730000
Mar2022,614,1197,735000
Mar2022,614,1262,775000
Apr2022,614,1181,725000
Apr2022,614,1205,740000
Apr2022,614,1254,770000
May2022,614,1262,775000
May2022,614,1270,780000
Jun2022,614,1238,760000
Jun2022,614,1254,770000
Jun2022,883,1128,996000
Jun2022,883,1161,1025000
Jun2022,936,1122,1050000
Jul2022,624,1202,750000
Jul2022,614,1230,755000
Jul2022,614,1283,788000
Aug2022,624,1202,750000
Aug2022,624,1250,780000
Sep2022,614,1230,755000
Oct2022,614,1303,800000
Oct2022,614,1311,805000
Nov2022,614,1254,770000
Dec2022,614,1270,780000
Jan2023,614,1269,779000
Jan2023,614,1311,805000
Jan2023,883,1212,1070000
Feb2023,614,1279,785000
Feb2023,614,1303,800000
Feb2023,614,1316,808000
Mar2023,614,1283,788000
Mar2023,614,1319,810000
Mar2023,872,1186,1034000
Mar2023,883,1172,1035000
Apr2023,614,1336,820000
Apr2023,624,1314,820000
Apr2023,861,1231,1060000
Jul2023,614,1270,780000
Jul2023,850,1253,1065000
Oct2023,861,1318,1135000
Nov2023,624,1314,820000
Dec2023,614,1303,800000
Dec2023,614,1352,830000
Jan2024,614,1352,830000
Feb2024,614,1368,839988
Mar2024,614,1336,820000
Mar2024,872,1306,1138888
Jun2024,624,1344,838888
Jul2024,614,1381,848000
Aug2024,614,1401,860000
Aug2024,893,1344,1200000
Sep2024,614,1332,818000
Sep2024,614,1340,823000
Sep2024,861,1266,1090000
Sep2024,861,1336,1150000
Sep2024,936,1357,1270000
Oct2024,614,1316,808000
Oct2024,614,1332,818000
Oct2024,872,1319,1150000
Nov2024,614,1344,825000
Dec2024,614,1288,791000
Dec2024,614,1336,820000
Jan2025,614,1319,810000
Jan2025,614,1327,815000
Jan2025,614,1376,845000
Jan2025,872,1376,1200000
Feb2025,614,1384,850000
Mar2025,614,1327,815000
Mar2025,861,1347,1160000
May2025,614,1303,800000
May2025,614,1311,805000
May2025,872,1374,1198000
May2025,883,1391,1228000
Jun2025,624,1359,848000
Jul2025,614,1303,800000
Jul2025,614,1303,800000
Aug2025,614,1332,818000
Aug2025,614,1336,820000
Aug2025,614,1381,848000
Aug2025,614,1384,850000
Sep2025,614,1311,805000
Sep2025,614,1344,825000
Sep2025,614,1370,841000
Sep2025,614,1384,850000
Sep2025,624,1391,868000
Sep2025,850,1353,1150000
Nov2025,614,1352,830000
Nov2025,614,1352,830000
Nov2025,614,1352,830000
Dec2025,614,1303,800000
Dec2025,614,1350,828888
Dec2025,614,1368,840000
Jan2026,614,1417,870000
Feb2026,614,1336,820000
Feb2026,614,1368,840000
Feb2026,614,1368,840000
Feb2026,614,1376,845000
Feb2026,614,1378,846000
Feb2026,614,1384,850000
