date,sqft,psf,price
Jul2024,613,2004,1230000
Jul2024,645,1981,1280000
Jul2024,688,2003,1380000
Jul2024,699,2012,1408000
Jul2024,699,2029,1420000
Jul2024,742,1976,1468000
Aug2024,645,1919,1240000
Aug2024,699,2000,1400000
Aug2024,742,1925,1430000
Aug2024,1011,2105,2130000
Aug2024,1097,2022,2220000
Sep2024,495,1841,912000
Sep2024,505,1913,968000
Sep2024,699,1986,1390000
Sep2024,753,1996,1504000
Sep2024,1011,1976,2000000
Oct2024,1097,2050,2250900
Nov2024,505,1901,962000
Nov2024,624,1989,1242000
Nov2024,688,1966,1355000
Nov2024,742,1976,1468000
Nov2024,699,2115,1480000
Nov2024,1011,1867,1890000
Nov2024,1334,1835,2450000
Dec2024,495,1757,870000
Dec2024,495,1817,900000
Dec2024,688,1985,1368000
Dec2024,742,1925,1430000
Dec2024,1011,2124,2150000
Jan2025,699,2058,1440000
Jan2025,1011,2055,2080000
Feb2025,495,1706,845000
Feb2025,495,1793,888000
Feb2025,505,1897,960000
Feb2025,624,2050,1280000
Mar2025,495,1746,865000
Mar2025,495,1777,880000
Mar2025,505,1897,960000
Mar2025,699,2000,1400000
Mar2025,699,2015,1410000
Mar2025,699,2079,1455000
Mar2025,742,1965,1460000
Mar2025,742,1979,1470000
Mar2025,1011,2124,2150000
Apr2025,495,1757,870000
Apr2025,742,1817,1350000
Apr2025,742,1898,1410000
Apr2025,699,2055,1438000
Apr2025,753,1962,1478888
Apr2025,1097,2094,2300000
Apr2025,1334,1910,2550000
May2025,505,1897,960000
May2025,699,2041,1428000
May2025,699,2072,1450000
May2025,742,1969,1463000
Jun2025,495,1827,905000
Jun2025,699,2086,1460000
Jun2025,742,1992,1480000
Jun2025,1011,1867,1890000
Jun2025,1097,2084,2288888
Jun2025,1097,2094,2300000
Jul2025,495,1833,908000
Jul2025,645,1780,1150000
Jul2025,699,2029,1420000
Jul2025,699,2036,1425000
Jul2025,699,2036,1425000
Aug2025,645,1991,1286000
Aug2025,753,1842,1388000
Aug2025,742,1911,1420000
Aug2025,699,2083,1458000
Aug2025,753,1974,1488000
Aug2025,753,1990,1500000
Aug2025,796,1883,1500000
Aug2025,753,2017,1520000
Aug2025,1011,2143,2168388
Aug2025,1108,2065,2290000
Sep2025,484,1734,840000
Sep2025,495,1797,890000
Sep2025,505,1907,965000
Sep2025,613,1955,1200000
Sep2025,645,1963,1268000
Sep2025,699,2041,1428000
Sep2025,699,2066,1446000
Sep2025,742,1965,1460000
Sep2025,742,1992,1480000
Sep2025,1097,2004,2200888
Sep2025,1108,2065,2290000
Sep2025,1054,2180,2300000
Sep2025,1097,2094,2300000
Oct2025,505,1844,933000
Oct2025,613,2053,1260000
Oct2025,699,2029,1420000
Oct2025,742,1959,1455000
Oct2025,699,2098,1468000
Oct2025,753,1990,1500000
Oct2025,1097,2076,2280000
Oct2025,1097,2140,2350000
Nov2025,495,1777,880000
Nov2025,613,2053,1260000
Nov2025,699,2043,1430000
Nov2025,742,1965,1460000
Nov2025,1097,2049,2250000
Nov2025,1108,2119,2350000
Dec2025,505,1857,939888
Dec2025,505,1897,960000
Dec2025,742,2033,1510000
Dec2025,1097,2049,2250000
Jan2026,688,2061,1420000
Jan2026,753,2001,1508000
Feb2026,742,1775,1318888
Mar2026,699,2000,1400000
