date,sqft,psf,price
Jan2026,904,1603,1450000
Oct2025,1302,1656,2158000
Sep2025,4962,681,3380000
Jun2025,5005,703,3522500
Jun2025,904,1515,1370000
Jun2025,904,1752,1585000
Jun2025,904,1614,1460000
Jun2025,904,1625,1470000
Jan2025,1313,1561,2050000
Jan2025,1313,1561,2050000
Dec2024,904,1590,1438000
Nov2024,818,1650,1350000
Oct2024,904,1581,1430000
Aug2024,4962,711,3528888
Aug2024,1313,1568,2060000
Aug2024,1313,1507,1980000
Aug2024,5005,719,3600000
Jul2024,1603,1621,2600000
May2024,818,1585,1297000
Jan2024,1313,1591,2090000
Oct2023,1302,1554,2025000
Oct2023,1302,1689,2200000
Oct2023,1313,1587,2085000
Sep2023,1313,1507,1980000
Jul2023,1302,1612,2100000
Jul2023,1313,1583,2080000
Apr2023,1313,1561,2050000
Mar2023,4962,705,3500000
Mar2023,1302,1536,2001000
Feb2023,1603,1576,2528000
Jan2023,904,1526,1380000
Dec2022,1313,1477,1940000
Dec2022,1259,1522,1918000
Dec2022,1313,1580,2075000
Nov2022,1313,1492,1960000
Oct2022,1302,1535,2000000
Jun2022,904,1504,1360000
Jun2022,1313,1515,1990000
Jun2022,818,1503,1230000
May2022,1313,1637,2150000
May2022,904,1592,1440000
May2022,1302,1520,1980000
May2022,818,1405,1150000
May2022,1313,1416,1860000
Apr2022,1302,1358,1770000
Apr2022,904,1305,1180000
Mar2022,4962,681,3380000
Mar2022,818,1405,1150000
Jan2022,818,1430,1170000
Jan2022,904,1382,1250000
Dec2021,904,1382,1250000
Dec2021,1776,1041,1850000
Nov2021,2701,1339,3618000
Nov2021,4962,675,3350000
Sep2021,1313,1460,1918000
Sep2021,1603,1386,2223000
Aug2021,1313,1302,1710000
Aug2021,904,1354,1225000
Aug2021,1313,1446,1900000
Aug2021,904,1459,1320000
Aug2021,904,1294,1170000
Aug2021,1603,1395,2238899
Aug2021,1302,1343,1750000
Aug2021,1302,1228,1600000
Jul2021,904,1305,1180000
Jul2021,1313,1271,1670000
Jun2021,904,1227,1110000
May2021,1313,1262,1658000
May2021,904,1360,1230000
May2021,904,1443,1305000
Apr2021,904,1371,1240000
Apr2021,818,1399,1145000
Apr2021,1302,1249,1628000
Apr2021,904,1282,1160000
Apr2021,904,1260,1140000
Mar2021,5005,599,3000000
Mar2021,818,1399,1144600
Feb2021,1603,1359,2180000
Feb2021,1302,1347,1755000
Feb2021,4962,665,3300000
Jan2021,818,1326,1085000
Dec2020,1259,1214,1530000
Dec2020,1302,1151,1500000
Nov2020,904,1382,1250000
Nov2020,1259,1254,1580000
Jul2020,1302,1305,1700000
Jan2020,1302,1289,1680000
Jul2019,1302,1282,1670000
Jun2019,904,1382,1250000
Jan2019,1313,1302,1710000
Jan2019,2109,767,1620000
Nov2018,1313,1203,1580000
Sep2018,1302,1405,1830000
Sep2018,1302,1113,1450000
Jul2018,904,1459,1320000
Jul2018,904,1305,1180000
Jul2018,4962,644,3200000
Jul2018,818,1320,1080000
Jun2018,818,1332,1090000
Jun2018,904,1327,1200000
May2018,904,1426,1290000
May2018,1313,1370,1800000
May2018,1313,1271,1670000
May2018,1302,1239,1615000
May2018,1259,1191,1500000
Apr2018,1313,1279,1680000
Apr2018,818,1222,1000000
Mar2018,904,1194,1080000
Mar2018,818,1320,1080000
Feb2018,1603,1143,1833888
Jan2018,904,1247,1128000
Dec2017,1259,1230,1550000
Dec2017,1259,1191,1500000
Nov2017,818,1246,1020000
Nov2017,1302,1182,1540000
Nov2017,1302,1099,1432200
Oct2017,818,1222,1000000
Aug2017,1313,1096,1440000
Jul2017,1259,1175,1480000
Jul2017,1302,1197,1560000
Jul2017,818,1283,1050000
Jul2017,904,1266,1145000
Jul2017,1313,1142,1500000
Jun2017,1259,1143,1440000
Jun2017,1313,1279,1680000
Apr2017,1313,1203,1580000
Apr2017,904,1194,1080000
Apr2017,1603,1222,1960000
