date,sqft,psf,price
Nov2025,419,1715,720000
Nov2025,398,1802,718000
Oct2025,721,1372,990000
Oct2025,376,1778,670000
Sep2025,419,1662,698000
Sep2025,376,1738,655000
Aug2025,376,1871,705000
Aug2025,807,1424,1150000
Aug2025,742,1507,1120000
Jul2025,376,1804,680000
Jun2025,699,1414,990000
May2025,355,1914,680000
Apr2025,344,1907,657000
Apr2025,387,1878,728000
Jan2025,387,1698,658000
Dec2024,721,1525,1100000
Nov2024,462,1670,773000
Jul2024,387,1883,730000
Apr2024,376,1858,700000
Jan2024,322,2121,685000
Aug2023,387,1806,700000
Dec2022,731,1502,1100000
Sep2022,376,1746,658000
Jul2022,344,1910,658000
Jul2022,387,1770,686000
Jun2022,376,1680,633000
May2022,409,1540,630000
May2022,796,1161,925000
Feb2022,484,1403,680000
Jan2022,333,1798,600000
Dec2021,376,1658,625000
Oct2021,387,1695,657000
Sep2021,376,1682,634000
Aug2021,398,1611,642000
Jul2021,376,1698,640000
Jul2021,376,1539,580000
Apr2021,721,1261,910000
Apr2021,387,1571,609000
Mar2021,376,1560,588000
Jan2021,376,1587,598000
Dec2020,785,1145,900000
Oct2020,419,1512,635000
Oct2020,376,1552,585000
Sep2020,398,1569,625000
Jul2020,387,1589,616000
Jul2019,376,1486,560000
Jul2019,376,1592,600000
Jul2019,387,1612,625000
Jun2019,322,1703,550000
May2019,355,1604,570000
May2019,365,1543,565000
Mar2019,344,1596,550000
